movement,days
row (erg),3145
run,1886
strict press,1824
clean,1692
deadlift,1633
pull-up,1511
snatch,1184
push-up,1165
burpee,1083
back squat,1071
jerk (split/push),873
bench press,797
power clean,710
bike (assault/echo),704
front squat,684
kettlebell swing,683
box jump,665
double under,634
sit-up,568
lunge,566
muscle-up,541
thruster,533
push press,531
wall ball,447
dip (other),432
carry (other),426
handstand push-up,405
power snatch,397
plank,394
toes-to-bar,384
chin-up,351
overhead squat,343
row (weighted),318
farmer carry,307
hang power clean,250
sandbag,208
ring dip,182
step-up,170
squat clean,167
air squat,146
dumbbell thruster,139
knee raise,137
single under,122
dumbbell snatch,115
pistol,107
hang snatch,96
sled,95
turkish get-up,89
sumo deadlift high pull,79
rope climb,74
hollow hold,53
handstand walk,43
kettlebell snatch,38
squat snatch,36
ghd sit-up,33
slam ball,30
ski erg,24
dumbbell clean,18
clean and jerk,8
devil press,4
med ball clean,2
man maker,2
